city,region,industry,month,year,time_point,date,sex,grimbleth_ppm,population,temperature,cases
Blythwick,Westridinge,Secondary,Jan,2016,1,2016-01-01,M,1.32,185946,35.452718106001925,58
Blythwick,Westridinge,Secondary,Jan,2016,1,2016-01-01,F,1.32,185946,35.452718106001925,39
Blythwick,Westridinge,Secondary,Feb,2016,2,2016-02-01,M,1.55,182317.45296902172,36.03343665218329,76
Blythwick,Westridinge,Secondary,Feb,2016,2,2016-02-01,F,1.55,182317.45296902172,36.03343665218329,51
Blythwick,Westridinge,Secondary,Mar,2016,3,2016-03-01,M,1.51,187119.48303063176,32.00628840834775,6
Blythwick,Westridinge,Secondary,Mar,2016,3,2016-03-01,F,1.51,187119.48303063176,32.00628840834775,5
Blythwick,Westridinge,Secondary,Apr,2016,4,2016-04-01,M,1.55,188412.25767977256,22.92062212265056,37
Blythwick,Westridinge,Secondary,Apr,2016,4,2016-04-01,F,1.55,188412.25767977256,22.92062212265056,25
Blythwick,Westridinge,Secondary,May,2016,5,2016-05-01,M,1.51,181804.1494767802,15.411310770767056,49
Blythwick,Westridinge,Secondary,May,2016,5,2016-05-01,F,1.51,181804.1494767802,15.411310770767056,34
Blythwick,Westridinge,Secondary,Jun,2016,6,2016-06-01,M,1.07,191316.15791762318,1.2819210666112977,13
Blythwick,Westridinge,Secondary,Jun,2016,6,2016-06-01,F,1.07,191316.15791762318,1.2819210666112977,9
Blythwick,Westridinge,Secondary,Jul,2016,7,2016-07-01,M,0.99,183035.74763910112,-4.409885574843873,60
Blythwick,Westridinge,Secondary,Jul,2016,7,2016-07-01,F,0.99,183035.74763910112,-4.409885574843873,40
Blythwick,Westridinge,Secondary,Aug,2016,8,2016-08-01,M,0.8,182325.22900854348,-4.425127274316329,85
Blythwick,Westridinge,Secondary,Aug,2016,8,2016-08-01,F,0.8,182325.22900854348,-4.425127274316329,57
Blythwick,Westridinge,Secondary,Sep,2016,9,2016-09-01,M,1.07,188106.3073642592,-0.08073730079719788,133
Blythwick,Westridinge,Secondary,Sep,2016,9,2016-09-01,F,1.07,188106.3073642592,-0.08073730079719788,90
Blythwick,Westridinge,Secondary,Oct,2016,10,2016-10-01,M,1.46,185699.79214829876,8.680905207660944,14
Blythwick,Westridinge,Secondary,Oct,2016,10,2016-10-01,F,1.46,185699.79214829876,8.680905207660944,10
Blythwick,Westridinge,Secondary,Nov,2016,11,2016-11-01,M,3.45,185602.71975234748,21.5614688129036,172
Blythwick,Westridinge,Secondary,Nov,2016,11,2016-11-01,F,3.45,185602.71975234748,21.5614688129036,116
Blythwick,Westridinge,Secondary,Dec,2016,12,2016-12-01,M,4.61,189146.33608950287,25.373562103062728,69
Blythwick,Westridinge,Secondary,Dec,2016,12,2016-12-01,F,4.61,189146.33608950287,25.373562103062728,47
Blythwick,Westridinge,Secondary,Jan,2017,13,2017-01-01,M,9.44,191748.1828185364,33.95901040937973,33
Blythwick,Westridinge,Secondary,Jan,2017,13,2017-01-01,F,9.44,191748.1828185364,33.95901040937973,22
Blythwick,Westridinge,Secondary,Feb,2017,14,2017-02-01,M,9.22,189304.60639410908,32.739673126565364,99
Blythwick,Westridinge,Secondary,Feb,2017,14,2017-02-01,F,9.22,189304.60639410908,32.739673126565364,66
Blythwick,Westridinge,Secondary,Mar,2017,15,2017-03-01,M,12.5,182636.204799963,32.49827060306968,335
Blythwick,Westridinge,Secondary,Mar,2017,15,2017-03-01,F,12.5,182636.204799963,32.49827060306968,224
Blythwick,Westridinge,Secondary,Apr,2017,16,2017-04-01,M,6.24,191405.97275865733,23.415746188038863,32
Blythwick,Westridinge,Secondary,Apr,2017,16,2017-04-01,F,6.24,191405.97275865733,23.415746188038863,22
Blythwick,Westridinge,Secondary,May,2017,17,2017-05-01,M,2.94,194731.73488014512,12.909947916279632,158
Blythwick,Westridinge,Secondary,May,2017,17,2017-05-01,F,2.94,194731.73488014512,12.909947916279632,106
Blythwick,Westridinge,Secondary,Jun,2017,18,2017-06-01,M,1.07,183601.76789480177,0.641576027127313,13
Blythwick,Westridinge,Secondary,Jun,2017,18,2017-06-01,F,1.07,183601.76789480177,0.641576027127313,9
Blythwick,Westridinge,Secondary,Jul,2017,19,2017-07-01,M,0.74,181884.46292179215,-3.3986023217041885,29
Blythwick,Westridinge,Secondary,Jul,2017,19,2017-07-01,F,0.74,181884.46292179215,-3.3986023217041885,20
Blythwick,Westridinge,Secondary,Aug,2017,20,2017-08-01,M,0.58,191789.28490203415,-5.574842233971384,52
